Player,Country,Mat,Inns,NO,fifties,hundreds,zeros,HS ,Runs,Batting_sr,Batting_avg,Ca,St,PerRuns
Mohammad Amir,Pakistan,8,3,1,0,0,1,8,11,78.57,5.5,2,0, 0.54
"Wood, M A",England,10,4,2,0,0,2,10*,11,91.67,5.5,0,0, 0.35
"Sodhi, I S",New Zealand,1,1,0,0,0,0,5,5,125,5,0,0, 0.23
"Chahal, Y S",India,8,1,0,0,0,0,5,5,-  ,5,4,0, 0.20
Hamid Hassan,Afghanistan,5,5,2,0,0,1,7*,15,62.5,5,1,0, 0.82
"Henry, M J",New Zealand,9,5,1,0,0,0,7,18,72,4.5,3,0, 0.84
"Ferguson, L H",New Zealand,9,2,1,0,0,1,4*,4,-  ,4,2,0, 0.19
"Handscomb, P S P",Australia,1,1,0,0,0,0,4,4,33.33,4,0,0, 0.14
Mohammad Shahzad,Afghanistan,2,2,0,0,0,1,7,7,46.67,3.5,2,0, 0.38
"Archer, J C",England,11,7,3,0,0,1,7*,13,59.09,3.25,2,0, 0.41
"Siriwardana, T A M",Sri Lanka,1,1,0,0,0,0,3,3,75,3,1,0, 0.19
"Gabriel, S T",West Indies,3,2,1,0,0,1,3*,3,30,3,0,0, 0.15
Dawlat Zadran,Afghanistan,5,5,1,0,0,1,6,11,32.35,2.75,1,0, 0.60
Shoaib Malik,Pakistan,3,3,0,0,0,2,8,8,72.73,2.67,2,0, 0.40
"Malinga, S L",Sri Lanka,7,5,0,0,0,0,4,11,39.29,2.2,0,0, 0.68
"Pretorius, D",South Africa,3,2,0,0,0,0,2,3,50,1.5,1,0, 0.16
"Zampa, A",Australia,4,2,1,0,0,0,1,1,33.33,1,1,0, 0.03
"Kumar, B",India,6,2,0,0,0,1,2,2,-  ,1,1,0, 0.08
Mohammed Shami,India,4,3,0,0,0,1,1,2,33.33,0.67,3,0, 0.08
"Pradeep, N",Sri Lanka,3,3,1,0,0,2,1*,1,8.33,0.5,0,0, 0.06
Mustafizur Rahman,Bangladesh,8,4,1,0,0,2,1,1,14.29,0.33,1,0, 0.04
"Hendricks, B E",South Africa,2,0,0,0,0,0,-  ,0,-  ,-  ,0,0,
"Rajitha, C A K",Sri Lanka,2,0,0,0,0,0,-  ,0,-  ,-  ,0,0,
"Vandersay, J D F",Sri Lanka,1,0,0,0,0,0,-  ,0,-  ,-  ,1,0,
Kuldeep Yadav,India,7,2,2,0,0,0,1*,1,-  ,-  ,0,0, 0.04%
"Shamsi, T",South Africa,2,0,0,0,0,0,-  ,0,-  ,-  ,0,0,
"Richardson, K W",Australia,2,1,1,0,0,0,1*,1,-  ,-  ,2,0, 0.03%
"Bumrah, J J",India,9,3,3,0,0,0,1*,1,-  ,-  ,1,0, 0.04%
"Southee, T G",New Zealand,1,1,1,0,0,0,7*,7,43.75,-  ,0,0, 0.32%
Shaheen Shah Afridi,Pakistan,5,2,2,0,0,0,1*,1,16.67,-  ,0,0, 0.05%
